"","Year","Stage","elapsed","Date","Origin","Distance","Destination","Type","Average_speed"
"93",1983,6,4714,1983-07-07,"Châteaubriant",58,"Nantes","0",44.2935935511243
"94",1983,7,20737,1983-07-08,"Nantes",216,"Île d'Oléron","1",37.4981916381347
"95",1983,8,22560,1983-07-09,"La Rochelle",222,"Bordeaux","1",35.4255319148936
"96",1983,9,20802,1983-07-10,"Bordeaux",207,"Pau","1",35.8234785116816
"76",1983,10,23007,1983-07-11,"Pau",201,"Bagnères-de-Luchon","3",31.4512974312166
"77",1983,11,16026,1983-07-12,"Bagnères-de-Luchon",177,"Fleurance","1",39.7603893672782
"78",1983,12,26269,1983-07-13,"Fleurance",261,"Roquefort-sur-Soulzon","1",35.7683962084586
"79",1983,13,21606,1983-07-14,"Roquefort-sur-Soulzon",210,"Aurillac","2",34.9902804776451
"80",1983,14,13156,1983-07-15,"Aurillac",149,"Issoire","2",40.7722712070538
"81",1983,15,2443,1983-07-16,"Clermont-Ferrand",16,"Puy de Dôme","0",23.5775685632419
"82",1983,16,13778,1983-07-17,"Issoire",144,"Saint-Étienne","2",37.6251995935549
"83",1983,17,26492,1983-07-18,"La Tour-du-Pin",223,"Alpe d'Huez","3",30.3034878453873
"84",1983,18,27925,1983-07-20,"Le Bourg-d'Oisans",247,"Morzine","3",31.8424350940018
"85",1983,19,2109,1983-07-21,"Morzine",15,"Avoriaz","0",25.6045519203414
"87",1983,20,26576,1983-07-22,"Morzine",291,"Dijon","1",39.4190246839253
"88",1983,21,4297,1983-07-23,"Dijon",50,"Dijon","0",41.8896904817314
"89",1983,22,19856,1983-07-24,"Alfortville",195,"Paris","1",35.3545527800161
"97",1984,0,399,1984-06-29,"Montreuil",5,"Noisy-le-Sec","0",45.1127819548872
"98",1984,1,12438,1984-06-30,"Bondy",149,"Saint-Denis","1",43.1259044862518
"109",1984,2,25231,1984-07-01,"Bobigny",249,"Louvroil","1",35.5277238317942
"114",1984,4,8343,1984-07-02,"Valenciennes",83,"Béthune","1",35.814455231931
"115",1984,5,17385,1984-07-03,"Béthune",207,"Cergy-Pontoise","1",42.8645383951682
"116",1984,6,18913,1984-07-04,"Cergy-Pontoise",202,"Alençon","1",38.4497435626289
"117",1984,7,5253,1984-07-05,"Alençon",67,"Le Mans","0",45.9166190748144
"118",1984,8,15535,1984-07-06,"Le Mans",192,"Nantes","1",44.4930801416157
"119",1984,9,34811,1984-07-07,"Nantes",338,"Bordeaux","1",34.9544684151561
"99",1984,10,17462,1984-07-08,"Langon",198,"Pau","1",40.8200664299622
"100",1984,11,25421,1984-07-09,"Pau",227,"Guzet-Neige","3",32.1466504071437
"101",1984,12,9586,1984-07-10,"Saint-Girons",111,"Blagnac","1",41.6857917796787
"102",1984,13,21803,1984-07-11,"Blagnac",220,"Rodez","1",36.3252763381186
"103",1984,14,21645,1984-07-12,"Rodez",228,"Domaine du Rouret","2",37.9209979209979
"104",1984,15,25542,1984-07-13,"Domaine du Rouret",241,"Grenoble","2",33.9675828047921
"105",1984,16,2531,1984-07-15,"Les Échelles",22,"La Ruchère","0",31.291979454761
"106",1984,17,16764,1984-07-16,"Grenoble",151,"Alpe d'Huez","3",32.4266284896206
"107",1984,18,22365,1984-07-17,"Le Bourg-d'Oisans",185,"La Plagne","3",29.7786720321932
"108",1984,19,22585,1984-07-18,"La Plagne",186,"Morzine","3",29.647996457826
"110",1984,20,14956,1984-07-19,"Morzine",141,"Crans-Montana","3",33.9395560310243
"111",1984,21,34088,1984-07-20,"Crans-Montana",320,"Villefranche-sur-Saône","2",33.7948838300868
"112",1984,22,4039,1984-07-21,"Villié-Morgon",51,"Villefranche-sur-Saône","0",45.4567962366923
"120",1985,0,527,1985-06-28,"Plumelec",6,"Plumelec","0",40.9867172675522
"121",1985,1,23572,1985-06-29,"Vannes",256,"Lanester","1",39.0972340064483
"133",1985,2,23361,1985-06-30,"Lorient",242,"Vitre","1",37.2929241042764
"138",1985,4,23506,1985-07-02,"Fougères",239,"Pont-Audemer","1",36.6034204033013
"139",1985,5,23245,1985-07-03,"Neufchâtel-en-Bray",224,"Roubaix","1",34.6913314691331
"140",1985,6,23374,1985-07-04,"Roubaix",222,"Reims","1",34.1918370839394
"141",1985,7,21307,1985-07-05,"Reims",217,"Nancy","1",36.6640071338058
"142",1985,8,5695,1985-07-06,"Sarrebourg",75,"Strasbourg","0",47.4100087796313
"143",1985,9,15220,1985-07-07,"Strasbourg",174,"Épinal","2",41.1563731931669
"122",1985,10,18387,1985-07-08,"Épinal",204,"Pontarlier","2",39.9412628487518
"123",1985,11,19144,1985-07-09,"Pontarlier",195,"Morzine Avoriaz","3",36.6694525699958
"124",1985,12,30331,1985-07-10,"Morzine Avoriaz",269,"Lans-en-Vercors","3",31.9277307045597
"125",1985,13,2464,1985-07-11,"Villard-de-Lans",32,"Villard-de-Lans","0",46.7532467532468
"126",1985,14,17792,1985-07-13,"Autrans",179,"Saint-Étienne","2",36.2185251798561
"127",1985,15,25722,1985-07-14,"Saint-Étienne",238,"Aurillac","1",33.3100069979006
"128",1985,16,23514,1985-07-15,"Aurillac",247,"Toulouse","1",37.8157693289104
"129",1985,17,25041,1985-07-16,"Toulouse",209,"Luz Ardiden","3",30.0467233736672
"130",1985,18.1,5959,1985-07-17,"Luz-Saint-Sauveur",53,"Aubisque","3",32.018795099849
"131",1985,18.2,5959,1985-07-17,"Laruns",83,"Pau","3",50.1426413827823
"132",1985,19,20533,1985-07-18,"Pau",203,"Bordeaux","1",35.5914868747869
"134",1985,20,21190,1985-07-19,"Montpon-Ménestérol",225,"Limoges","1",38.2255781028787
"135",1985,21,3771,1985-07-20,"Lac de Vassivière",46,"Lac de Vassivière","0",43.9140811455847
"136",1985,22,18836,1985-07-21,"Orléans",196,"Paris","1",37.4601826290083
"144",1986,0,321,1986-07-04,"Boulogne-Billancourt",4.6,"Boulogne-Billancourt","0",51.588785046729
"145",1986,1,7113,1986-07-05,"Nanterre",85,"Sceaux","1",43.0198228595529
"160",1986,3,20731,1986-07-06,"Levallois-Perret",214,"Liévin","1",37.1617384593121
"161",1986,4,25025,1986-07-07,"Liévin",243,"Évreux","1",34.957042957043
"162",1986,5,11045,1986-07-08,"Evreux",124.5,"Villers-sur-Mer","1",40.5794477138977
"163",1986,6,17221,1986-07-09,"Villers-sur-Mer",200,"Cherbourg","1",41.8094187329423
"164",1986,7,17820,1986-07-10,"Cherbourg",201,"Saint-Hilaire-du-Harcouët","1",40.6060606060606
"165",1986,8,16795,1986-07-11,"Saint-Hilaire-du-Harcouët",204,"Nantes","1",43.7272997916047
"166",1986,9,4726,1986-07-12,"Nantes",61.5,"Nantes","0",46.847228099873
"146",1986,10,16036,1986-07-13,"Nantes",183,"Futuroscope","1",41.0825642304814
"147",1986,11,22360,1986-07-14,"Futuroscope",258.3,"Bordeaux","1",41.5867620751342
"148",1986,12,21798,1986-07-15,"Bayonne",217.5,"Pau","3",35.9207266721718
"149",1986,13,21997,1986-07-16,"Pau",186,"Superbagnères","3",30.4405146156294
"150",1986,14,13664,1986-07-17,"Superbagnères",154,"Blagnac","1",40.5737704918033
"151",1986,15,21151,1986-07-18,"Carcassonne",225.5,"Nîmes","1",38.3811640111579
"152",1986,16,27594,1986-07-19,"Nîmes",246.5,"Gap","1",32.1591650358774
"153",1986,17,21172,1986-07-20,"Gap",190,"Serre Chevalier","3",32.3068203287361
"154",1986,18,18183,1986-07-21,"Briançon",162.5,"Alpe d'Huez","3",32.1729087609305
"155",1986,19,18370,1986-07-23,"Villard-de-Lans",179.5,"Saint-Étienne","1",35.1769188894937
"157",1986,20,4536,1986-07-24,"Saint-Étienne",58,"Saint-Étienne","0",46.031746031746
"158",1986,21,19960,1986-07-25,"Saint-Étienne",190,"Puy de Dôme","1",34.2685370741483
"159",1986,22,18775,1986-07-26,"Clermont-Ferrand",194,"Nevers","1",37.1984021304927
"167",1987,0,426,1987-07-01,"West Berlin",6,"West Berlin","0",50.7042253521127
"168",1987,1,7893,1987-07-02,"West Berlin",105,"West Berlin","1",47.8905359179019
"183",1987,3,19655,1987-07-04,"Karlsruhe",219,"Stuttgart","1",40.1119308064106
"184",1987,4,6563,1987-07-05,"Stuttgart",79,"Pforzheim","1",43.3338412311443
"185",1987,5,9149,1987-07-05,"Pforzheim",112,"Strasbourg","1",44.07039020658
"186",1987,6,15177,1987-07-06,"Strasbourg",169,"Épinal","1",40.0869737102194
"187",1987,7,18497,1987-07-07,"Épinal",211,"Troyes","1",41.0661188300806
"188",1987,8,19433,1987-07-08,"Troyes",206,"Épinay-sous-Sénart","1",38.1618895692894
"189",1987,9,25554,1987-07-09,"Orléans",260,"Renazé","1",36.6283165062221
"169",1987,10,7091,1987-07-10,"Saumur",87,"Futuroscope","0",44.1686645043012
"170",1987,11,25615,1987-07-11,"Poitiers",206,"Chaumeil","2",28.9517860628538
"171",1987,12,20781,1987-07-12,"Brive",228,"Bordeaux","1",39.4976180164573
"172",1987,13,22796,1987-07-13,"Bayonne",219,"Pau","3",34.5850149148974
"173",1987,14,18868,1987-07-14,"Pau",166,"Luz Ardiden","3",31.6726733093068
"174",1987,15,14279,1987-07-15,"Tarbes",164,"Blagnac","1",41.347433293648
"175",1987,16,21501,1987-07-16,"Blagnac",216,"Millau","2",36.1657597321055
"176",1987,17,22664,1987-07-17,"Millau",239,"Avignon","2",37.9632897987999
"177",1987,18,4784,1987-07-19,"Carpentras",37,"Mont Ventoux","3",27.8428093645485
"178",1987,19,17614,1987-07-20,"Valréas",185,"Villard-de-Lans","3",37.8108322924946
"180",1987,20,21131,1987-07-21,"Villard-de-Lans",201,"Alpe d'Huez","3",34.243528465288
"181",1987,21,22025,1987-07-22,"Le Bourg-d'Oisans",185,"La Plagne","3",30.2383654937571
"182",1987,22,22428,1987-07-23,"La Plagne",186,"Morzine","3",29.8555377207063
"190",1988,0,74,1988-07-03,"Pornichet",1,"La Baule","0",48.6486486486487
"191",1988,1,8194,1988-07-04,"Pontchâteau",92,"Machecoul","1",40.4198193800342
"206",1988,3,17528,1988-07-05,"Nantes",213,"Le Mans","1",43.7471474212688
"207",1988,4,12314,1988-07-06,"Le Mans",158,"Évreux","1",46.1913269449407
"208",1988,5,11654,1988-07-07,"Neufchâtel-en-Bray",148,"Liévin","1",45.718208340484
"209",1988,6,3802,1988-07-08,"Liévin",52,"Wasquehal","0",49.2372435560231
"210",1988,7,19630,1988-07-09,"Wasquehal",225,"Reims","1",41.2633723892002
"211",1988,8,19458,1988-07-10,"Reims",219,"Nancy","1",40.518038852914
"212",1988,9,13651,1988-07-11,"Nancy",161,"Strasbourg","2",42.458427953996
"192",1988,10,12511,1988-07-12,"Belfort",149,"Besançon","2",42.8742706418352
"193",1988,11,21894,1988-07-13,"Besançon",232,"Morzine","3",38.1474376541518
"194",1988,12,24944,1988-07-14,"Morzine",227,"Alpe d'Huez","3",32.7613855035279
"195",1988,13,3744,1988-07-15,"Grenoble",38,"Villard-de-Lans","3",36.5384615384615
"196",1988,14,16234,1988-07-17,"Blagnac",163,"Guzet-Neige","3",36.1463594924233
"197",1988,15,22844,1988-07-18,"Saint-Girons",187,"Luz Ardiden","3",29.4694449308352
"198",1988,16,2796,1988-07-19,"Luz Ardiden",35,"Pau","1",45.0643776824034
"199",1988,17,17883,1988-07-19,"Pau",198,"Bordeaux","1",39.859084046301
"200",1988,18,7965,1988-07-20,"Ruelle-sur-Touvre",94,"Limoges","1",42.4858757062147
"201",1988,19,18874,1988-07-21,"Limoges",188,"Puy de Dôme","2",35.8588534491894
"203",1988,20,21825,1988-07-22,"Clermont-Ferrand",223,"Chalon-sur-Saône","1",36.7835051546392
"204",1988,21,3757,1988-07-23,"Santenay",46,"Santenay","0",44.0777215863721
"205",1988,22,17489,1988-07-24,"Nemours",173,"Paris","1",35.6109554577163
"213",1989,0,594,1989-07-01,"Luxembourg City",7.8,"Luxembourg City","0",47.2727272727273
"214",1989,1,12096,1989-07-02,"Luxembourg City",135.5,"Luxembourg City","1",40.327380952381
"228",1989,3,23657,1989-07-03,"Luxembourg City",241,"Spa","1",36.6741345056432
"229",1989,4,22438,1989-07-04,"Liège",255,"Wasquehal","1",40.9127373206168
"230",1989,5,5892,1989-07-06,"Dinard",73,"Rennes","0",44.6028513238289
"231",1989,6,25065,1989-07-07,"Rennes",259,"Futuroscope","1",37.1992818671454
"232",1989,7,26517,1989-07-08,"Poitiers",258.5,"Bordeaux","1",35.0944676999661
"233",1989,8,13886,1989-07-09,"Labastide-d'Armagnac",157,"Pau","1",40.7028661961688
"234",1989,9,16356,1989-07-10,"Pau",147,"Cauterets","3",32.3550990462216
"215",1989,10,15739,1989-07-11,"Cauterets",136,"Superbagnères","3",31.107440116907
"216",1989,11,13067,1989-07-12,"Luchon",158.5,"Blagnac","1",43.6672533863932
"217",1989,12,20454,1989-07-13,"Toulouse",242,"Montpellier","1",42.5931358169551
"218",1989,13,15451,1989-07-14,"Montpellier",179,"Marseille","1",41.7060384441136
"219",1989,14,23275,1989-07-15,"Marseille",240,"Gap","2",37.1213748657358
"220",1989,15,4242,1989-07-16,"Gap",39,"Orcières-Merlette","3",33.0975954738331
"221",1989,16,17205,1989-07-18,"Gap",175,"Briançon","3",36.617262423714
"222",1989,17,18639,1989-07-19,"Briançon",165,"Alpe d'Huez","3",31.8686624818928
"223",1989,18,9088,1989-07-20,"Le Bourg-d'Oisans",91.5,"Villard-de-Lans","3",36.2455985915493
"224",1989,19,11873,1989-07-21,"Villard-de-Lans",125,"Aix-les-Bains","3",37.9011201886634
"226",1989,20,12376,1989-07-22,"Aix-les-Bains",130,"L'Isle-d'Abeau","1",37.8151260504202
"227",1989,21,1617,1989-07-23,"Versailles",24.5,"Paris","0",54.5454545454545
"235",1990,0,469,1990-06-30,"Futuroscope",6.3,"Futuroscope","0",48.3582089552239
"236",1990,1,11941,1990-07-01,"Futuroscope",138.5,"Futuroscope","1",41.7552968763085
"250",1990,3,20773,1990-07-02,"Poitiers",233,"Nantes","1",40.3793385644827
"251",1990,4,19413,1990-07-03,"Nantes",203,"Mont Saint-Michel","1",37.6448771441817
"252",1990,5,27787,1990-07-04,"Avranches",301,"Rouen","1",38.9966531111671
"253",1990,6,19436,1990-07-06,"Sarrebourg",202.5,"Vittel","1",37.5077176373739
"254",1990,7,4625,1990-07-07,"Vittel",61.5,"Épinal","0",47.8702702702703
"255",1990,8,16013,1990-07-08,"Épinal",181.5,"Besançon","1",40.8043464684944
"256",1990,9,17167,1990-07-09,"Besançon",196,"Geneva","2",41.1021145220481
"237",1990,10,12271,1990-07-10,"Geneva",118.5,"Saint-Gervais","3",34.7648928367696
"238",1990,11,20271,1990-07-11,"Saint-Gervais",182.5,"Alpe d'Huez","3",32.4108332100044
"239",1990,12,3412,1990-07-12,"Fontaine",33.5,"Villard-de-Lans","3",35.3458382180539
"240",1990,13,12012,1990-07-14,"Villard-de-Lans",149,"Saint-Étienne","2",44.6553446553447
"241",1990,14,18723,1990-07-15,"Le Puy-en-Velay",205,"Millau","2",39.4167601345938
"242",1990,15,15236,1990-07-16,"Millau",170,"Revel","1",40.1680231031767
"243",1990,16,25478,1990-07-17,"Blagnac",215,"Luz Ardiden","3",30.3791506397676
"244",1990,17,14905,1990-07-18,"Lourdes",150,"Pau","3",36.2294532036229
"245",1990,18,20493,1990-07-19,"Pau",202,"Bordeaux","1",35.4852876592007
"246",1990,19,18964,1990-07-20,"Castillon-la-Bataille",182.5,"Limoges","1",34.6445897489981
"248",1990,20,3760,1990-07-21,"Lac de Vassivière",45.5,"Lac de Vassivière","0",43.563829787234
"249",1990,21,17632,1990-07-22,"Brétigny-sur-Orge",182.5,"Paris","1",37.2617967332123
"257",1991,0,371,1991-07-06,"Lyon",5.4,"Lyon","0",52.3989218328841
"258",1991,1,8934,1991-07-07,"Lyon",114.5,"Lyon","1",46.1383478844862
"273",1991,3,18911,1991-07-08,"Villeurbanne",210.5,"Dijon","1",40.0719158161916
"274",1991,4,28154,1991-07-09,"Dijon",286,"Reims","1",36.5702919656177
"275",1991,5,11858,1991-07-10,"Reims",149.5,"Valenciennes","1",45.3870804520155
"276",1991,6,23907,1991-07-11,"Arras",259,"Le Havre","1",39.0011293763333
"277",1991,7,14538,1991-07-12,"Le Havre",167,"Argentan","1",41.3536937680561
"278",1991,8,5744,1991-07-13,"Argentan",73,"Alençon","0",45.7520891364903
"279",1991,9,13251,1991-07-14,"Alençon",161,"Rennes","1",43.7400950871632
"259",1991,10,19403,1991-07-15,"Rennes",207.5,"Quimper","1",38.4992011544606
"260",1991,11,18751,1991-07-16,"Quimper",246,"Saint-Herblain","1",47.2294810943416
"261",1991,12,18952,1991-07-18,"Pau",192,"Jaca","3",36.4710848459265
"262",1991,13,25876,1991-07-19,"Jaca",232,"Val-Louron","3",32.2770134487556
"263",1991,14,15351,1991-07-20,"St Gaudens",172.5,"Castres","1",40.453390658589
"264",1991,15,22882,1991-07-21,"Albi",235,"Ales","2",36.972292631763
"265",1991,16,21999,1991-07-22,"Alès",215,"Gap","1",35.1834174280649
"266",1991,17,12348,1991-07-23,"Gap",125,"Alpe d'Huez","3",36.4431486880466
"267",1991,18,26807,1991-07-24,"Le Bourg-d'Oisans",255,"Morzine","3",34.2447868094155
"268",1991,19,15508,1991-07-25,"Morzine",177,"Aix-les-Bains","2",41.0884704668558
"270",1991,20,15172,1991-07-26,"Aix-les-Bains",160,"Mâcon","2",37.9646717637754
"271",1991,21,4305,1991-07-27,"Lugny",57,"Mâcon","0",47.6655052264808
"272",1991,22,17016,1991-07-28,"Melun",178,"Paris","1",37.6586741889986
"280",1992,0,562,1992-07-04,"San Sebastián",8,"San Sebastián","0",51.2455516014235
"281",1992,1,16659,1992-07-05,"San Sebastián",194.5,"San Sebastián","2",42.0313344138304
"292",1992,2,24116,1992-07-06,"San Sebastián",255,"Pau","2",38.0660142643888
"295",1992,3,20717,1992-07-07,"Pau",210,"Bordeaux","1",36.4917700439253
"297",1992,5,14761,1992-07-09,"Nogent-sur-Oise",196,"Wasquehal","1",47.8016394553215
"298",1992,6,13026,1992-07-10,"Roubaix",167,"Brussels","1",46.1538461538462
"299",1992,7,15707,1992-07-11,"Brussels",196.5,"Valkenburg","1",45.0372445406507
"300",1992,8,17123,1992-07-12,"Valkenburg",206.5,"Koblenz","1",43.4152893768615
"301",1992,9,4771,1992-07-13,"Luxembourg City",65,"Luxembourg City","0",49.0463215258856
"282",1992,10,18165,1992-07-14,"Luxembourg City",217,"Strasbourg","1",43.0057803468208
"283",1992,11,23449,1992-07-15,"Strasbourg",249.5,"Mulhouse","2",38.3044053051303
"284",1992,12,25856,1992-07-16,"Dole",267.5,"St Gervais","2",37.2447400990099
"285",1992,13,27891,1992-07-18,"St Gervais",254.5,"Sestriere","3",32.8493062278154
"286",1992,14,20518,1992-07-19,"Sestriere",186.5,"Alpe d'Huez","3",32.7224875718881
"287",1992,15,17039,1992-07-20,"Le Bourg-d'Oisans",198,"Saint-Étienne","2",41.833440929632
"288",1992,16,21134,1992-07-21,"Saint-Étienne",212,"La Bourboule","2",36.1124254755371
"289",1992,17,16495,1992-07-22,"La Bourboule",189,"Montluçon","1",41.2488632919066
"290",1992,18,18435,1992-07-23,"Montluçon",212,"Tours","1",41.3995117982099
"291",1992,19,4401,1992-07-24,"Tours",64,"Blois","0",52.3517382413088
"293",1992,20,21816,1992-07-25,"Blois",222,"Nanterre","1",36.6336633663366
"294",1992,21,12517,1992-07-26,"La Défense",141,"Paris","1",40.5528481265479
"302",1993,0,492,1993-07-03,"Le Puy du Fou",6.8,"Le Puy du Fou","0",49.7560975609756
"303",1993,1,17549,1993-07-04,"Luçon",215,"Les Sables-d'Olonne","1",44.1050772123768
"314",1993,2,20469,1993-07-05,"Les Sables-d'Olonne",227.5,"Vannes","1",40.011725047633
"316",1993,3,16913,1993-07-06,"Vannes",189.5,"Dinard","1",40.3358363389109
"318",1993,5,18717,1993-07-08,"Avranches",225.5,"Évreux","1",43.3723353101459
"319",1993,6,11510,1993-07-09,"Évreux",158,"Amiens","1",49.4178974804518
"320",1993,7,16091,1993-07-10,"Péronne",199,"Châlons-sur-Marne","1",44.5217823628115
"321",1993,8,15743,1993-07-11,"Châlons-sur-Marne",184.5,"Verdun","1",42.1901797624341
"322",1993,9,4370,1993-07-12,"Lac de Madine",59,"Lac de Madine","0",48.604118993135
"304",1993,10,19732,1993-07-14,"Villard-de-Lans",203,"Serre Chevalier","3",37.0362862355565
"305",1993,11,20463,1993-07-15,"Serre Chevalier",179,"Isola 2000","3",31.4909837267263
"306",1993,12,26984,1993-07-16,"Isola",286.5,"Marseille","1",38.2226504595316
"307",1993,13,15190,1993-07-17,"Marseille",181.5,"Montpellier","1",43.0151415404872
"308",1993,14,19731,1993-07-18,"Montpellier",223,"Perpignan","1",40.6872434240535
"309",1993,15,26419,1993-07-19,"Perpignan",231.5,"Pal","3",31.5454786328022
"310",1993,16,26461,1993-07-21,"Andorra",230,"Saint-Lary-Soulan Pla d'Adet","3",31.2913344166887
"311",1993,17,18333,1993-07-22,"Tarbes",190,"Pau","3",37.3097692685322
"312",1993,18,18544,1993-07-23,"Orthez",199.5,"Bordeaux","1",38.7295081967213
"313",1993,19,3422,1993-07-24,"Brétigny-sur-Orge",48,"Montlhéry","0",50.4967855055523
"315",1993,20,19640,1993-07-25,"Viry-Châtillon",196.5,"Paris","1",36.0183299389002
"323",1994,0,469,1994-07-02,"Lille",7.2,"Lille","0",55.2665245202559
